일자,최저기온,최고기온,일교차
2019-10-01,15.7,27.4,11.7
2019-10-02,20.4,23.8,3.4
2019-10-03,19.9,27.8,7.9
2019-10-04,17.8,26.9,9.1
2019-10-05,15.7,22.0,6.3
2019-10-06,14.0,22.0,8.0
2019-10-07,13.4,17.9,4.5
2019-10-08,10.7,20.6,9.9
2019-10-09,6.4,19.6,13.2
2019-10-10,9.5,20.2,10.7
2019-10-11,12.1,24.8,12.7
2019-10-12,14.1,23.3,9.2
2019-10-13,12.5,22.9,10.4
2019-10-14,8.5,19.4,10.9
2019-10-15,7.3,19.6,12.3
2019-10-16,7.9,20.0,12.1
2019-10-17,9.1,20.6,11.5
2019-10-18,10.0,21.9,11.9
2019-10-19,10.4,22.2,11.8
2019-10-20,10.8,21.7,10.9
2019-10-21,9.5,23.9,14.4
2019-10-22,11.1,23.0,11.9
2019-10-23,12.4,20.0,7.6
2019-10-24,14.1,23.3,9.2
2019-10-25,10.7,21.7,11.0
2019-10-26,6.4,13.9,7.5
2019-10-27,3.0,16.8,13.8
2019-10-28,6.3,17.4,11.1
2019-10-29,8.2,18.1,9.9
2019-10-30,3.3,17.1,13.8
2019-10-31,7.3,20.4,13.1
